feature,dir_semeval,dir_cf,stable,ai_shift_W,human_shift_W,p_semeval,p_cf,sem_human_mean,sem_ai_mean,cf_human_mean,cf_ai_mean
char_count,1,1,True,411.40649999999994,162.5223223443221,0.0,0.456723560759027,441.9599684552711,1027.4899395074476,537.996336996337,635.93
line_count,1,-1,False,26.224499999999995,6.833800366300333,0.0,6.066649577964956e-08,21.951481639408904,39.076487335025064,24.666666666666668,13.77
non_blank_line_count,1,-1,False,21.553,4.2872600732600326,0.0,6.879111878852988e-10,20.042557874031996,32.1082302479484,21.84981684981685,11.07
avg_line_length,1,1,True,80.88121857059028,2.984565466103919,0.0,7.029716526059603e-44,20.460928981004812,26.425471481867685,22.128517127486287,107.32969274546997
max_line_length,1,1,True,163.83249999999998,17.02039010988955,0.0,1.3169026788131492e-45,53.71362154578341,99.08748218040743,57.11721611721612,264.38
p90_line_length,1,1,True,75.18450000000001,6.709468864468752,0.0,1.9097306015530844e-33,38.47645378559671,55.98260473321823,42.86446886446886,131.34
blank_line_ratio,1,-1,False,0.05982452049445405,0.08654097521696195,0.0,0.223493054370271,0.03330160591865023,0.15614904037528224,0.11203522945246212,0.10017672610156875
comment_line_ratio,1,-1,False,0.04977747767075143,0.043073234117621616,0.0,9.035097009679209e-07,0.001215292621698946,0.05981385391754503,0.04446446794671689,0.013078062680769189
inline_comment_ratio,1,-1,False,0.03525215055235181,0.021767655875721617,0.0,0.0014051714129798536,0.021059104454828146,0.05808551062004273,0.041831393383309226,0.02234963196507181
whitespace_ratio,1,-1,False,0.0809702159942263,0.06026612589520794,0.0,6.832242636547294e-22,0.2575818618592431,0.2952926224010323,0.31623522831047207,0.21459039073525252
digit_ratio,-1,-1,True,0.025472962404574334,0.007081296917121816,0.0,1.2986555570020301e-33,0.03231983939460326,0.02862937144897748,0.025592982113512793,0.004243945978066501
uppercase_ratio,1,1,True,0.017218625588816518,0.009216057057023778,0.0,0.05283613168703447,0.026900694434420117,0.03225950461081397,0.025234835946867748,0.025936122434963745
todo_count,1,-1,False,0.009499999999999731,0.0,5.485429849761734e-272,1.0,0.00011003975186035956,0.007708933416386918,0.0,0.0
step_comment_count,1,-1,False,0.03049999999999986,0.0,0.0,1.0,6.41898552518764e-05,0.02497460316133159,0.0,0.0
snake_case_count,1,1,True,3.6999999999999984,0.6321062271062258,0.0,6.537311780871847e-05,1.4157622774560643,5.595849550381893,0.7728937728937729,1.9
camel_case_count,1,-1,False,1.2304999999999993,0.22360989010988963,0.0,0.008623892436082031,0.5003599216883766,1.212325932367069,0.27106227106227104,0.0
long_ident_count,1,1,True,0.9279999999999994,0.10889194139194092,0.0,0.00663800449025135,0.17121726890505862,1.1175737762486257,0.05860805860805861,0.22
naming_style_ratio,1,1,True,0.1857703408579679,0.04533253395688333,0.0,2.983611777230775e-05,0.14541282896626948,0.45054926059397843,0.10798138708395118,0.2715792540792541
type_annotation_count,1,-1,False,0.1819999999999995,0.09983699633699616,7.097686403553001e-286,0.5490560205452861,0.09284145564251753,0.16970940999903847,0.003663003663003663,0.0
try_count,1,-1,False,0.02949999999999986,0.007510989010989011,6.4127470065618225e-90,0.2948180947656177,0.015465170126041365,0.02866602843609821,0.01098901098901099,0.0
except_count,1,-1,False,0.028000000000000025,0.00851098901098879,7.730920020707384e-193,0.9370336034002873,0.015575209877901725,0.03555557413577589,0.01098901098901099,0.01
raise_count,1,-1,False,0.01749999999999985,0.006499999999999506,7.816772800475649e-175,1.0,0.004245700425945539,0.014514868124563655,0.0,0.0
error_handling_density,-1,-1,True,0.0009486242611310657,0.0011029856797341738,5.625823795745591e-249,0.9297873334205087,0.001571192455865846,0.0014405474095824991,0.000847565133279419,0.00041666666666666664
null_check_count,1,-1,False,0.019999999999999685,0.005336996336996247,7.33974682892056e-143,0.5490560205452861,0.01884889249574742,0.03823948696295615,0.003663003663003663,0.0
none_return_count,1,-1,False,0.014999999999999791,0.0034999999999999476,2.2086536600771418e-135,1.0,0.005855031796903298,0.014410354385187476,0.0,0.0
isinstance_count,1,-1,False,0.0019999999999998908,0.0039999999999996705,9.579659626494945e-73,1.0,0.0019394506265388372,0.006906267897977868,0.0,0.0
logging_count,1,-1,False,0.0,0.0014999999999998348,3.663317670212829e-05,1.0,0.00016964461745138764,0.0009280820056604642,0.0,0.0
print_guard_count,1,-1,False,1.275499999999996,0.3185934065934045,0.0,8.658193426898571e-23,1.509415276268552,1.655334590285239,1.6996336996336996,0.58
early_return_count,1,1,True,0.8009999999999994,0.4300457875457866,0.0,4.773758892315889e-05,0.6009545948473887,1.2766018820834186,0.21245421245421245,0.45
guard_clause_count,1,-1,False,0.21399999999999963,0.14200183150183077,2.8703492234226596e-19,0.9235150738197241,0.30449833335625826,0.3471319339640389,0.1684981684981685,0.12
uniform_except_count,1,-1,False,0.0014999999999999458,0.0,1.2955965016214945e-37,1.0,0.0006877484491272472,0.002516690844178376,0.0,0.0
bare_except_count,1,-1,False,0.012499999999999956,0.001673992673992708,0.8428923848075852,0.3937766731837321,0.009289189052878686,0.010802540101921798,0.007326007326007326,0.0
default_param_count,1,-1,False,0.17349999999999943,0.04372710622710618,0.0,0.15262542772799173,0.07567983934196229,0.24649774459350426,0.10622710622710622,0.06
defensive_density,-1,-1,True,0.0052024533730945155,0.006817807430149033,0.6041091602462354,0.952791626272005,0.013233171198380514,0.009765781582711271,0.006098992106166732,0.004271145759018757
error_uniformity,1,-1,False,0.0005833333333333061,0.0,1.339959663027009e-37,1.0,0.00032217194016894156,0.000981359957992776,0.0,0.0
indent_consistency,-1,1,False,0.008685056131539469,0.0012210012210012212,0.0,0.5490560205452861,0.9998593197541501,0.9918305995920367,0.9987789987789987,1.0
trailing_ws_ratio,1,1,True,0.021206311721406353,0.014939669694088616,0.0,0.0005093178483644488,0.0019715091622329243,0.03881817888259613,0.016876586466863613,0.053138325092506405
